datetime,open,high,low,close,volume,symbol
2025-02-03 11:15:00,95675.08,95695.12,95356.73,95475.69,,BTC/USD
2025-02-03 11:00:00,95797.94,95810.38,95560.63,95675.07,,BTC/USD
2025-02-03 10:45:00,95443.51,95830.86,95347.18,95795.81,,BTC/USD
2025-02-03 10:30:00,95146.31,95518.18,95021.13,95448.2,,BTC/USD
2025-02-03 10:15:00,95345.44,95399.99,94886.92,95146.3,,BTC/USD
2025-02-03 10:00:00,95379.02,95556.58,95209.45,95345.43,,BTC/USD
2025-02-03 17:15:00,2689.07,2698.54,2684.77,2695.53,,ETH/USD
2025-02-03 17:00:00,2706.75,2709.12,2685.19,2690.09,,ETH/USD
2025-02-03 16:45:00,2711.75,2735.8,2704.87,2705.78,,ETH/USD
2025-02-03 16:30:00,2697.88,2712.45,2687.81,2710.75,,ETH/USD
2025-02-03 16:15:00,2696.99,2710.66,2687.02,2698.22,,ETH/USD
2025-02-03 16:00:00,2700.38,2715.26,2679.21,2692.02,,ETH/USD
2025-02-03 15:45:00,2704.71,2727.52,2685.26,2700.92,,ETH/USD
2025-02-03 15:30:00,2676.19,2720.98,2660.18,2705.25,,ETH/USD
2025-02-03 15:15:00,2621.18,2701,2611.29,2676.73,,ETH/USD
2025-02-03 15:00:00,2619.85,2629.66,2600.54,2620.9,,ETH/USD
2025-02-03 14:45:00,2625.2,2633.81,2587.5,2620.38,,ETH/USD
2025-02-03 14:30:00,2556.71,2647.43,2546.76,2625.1,,ETH/USD
2025-02-03 14:15:00,2547.61,2569.15,2528.63,2557.22,,ETH/USD
2025-02-03 14:00:00,2576.22,2579.84,2535.92,2549.56,,ETH/USD
2025-02-03 13:45:00,2577.7,2581.12,2560.32,2576.22,,ETH/USD
2025-02-03 13:30:00,2548.03,2580.83,2547.52,2577.65,,ETH/USD
2025-02-03 13:15:00,2570.01,2580.81,2548.25,2548.25,,ETH/USD
2025-02-03 13:00:00,2580.42,2595.86,2566.96,2570.01,,ETH/USD
2025-02-03 12:45:00,2607.92,2608.86,2574.65,2581,,ETH/USD
2025-02-03 12:30:00,2617.26,2624.6,2606.46,2606.79,,ETH/USD
2025-02-03 12:15:00,2606.02,2636.27,2604.17,2617.95,,ETH/USD
2025-02-03 12:00:00,2581.82,2610.3,2581.82,2606.48,,ETH/USD
2025-02-03 11:45:00,2585.5,2589.33,2577.72,2581.02,,ETH/USD
2025-02-03 11:30:00,2602.4,2604.69,2580.02,2583.5,,ETH/USD
2025-02-03 11:15:00,2598.48,2612.01,2585.49,2600.98,,ETH/USD
2025-02-03 11:00:00,2610.96,2611.52,2592.37,2598.46,,ETH/USD
2025-02-03 10:45:00,2593.79,2614.9,2590.46,2610.85,,ETH/USD
2025-02-03 10:30:00,2586.93,2609.55,2583.95,2593.15,,ETH/USD
2025-02-03 10:15:00,2579.32,2593.87,2566.37,2586.4,,ETH/USD
2025-02-03 10:00:00,2571.58,2581.11,2563.34,2579.31,,ETH/USD
2025-02-03 17:15:00,206.33,208.46,205.72,207.64,,SOL/USD
2025-02-03 17:00:00,208.05,208.52,206.04,206.33,,SOL/USD
2025-02-03 16:45:00,208.68,209.52,207.53,208.04,,SOL/USD
2025-02-03 16:30:00,207.51,208.94,206.86,208.69,,SOL/USD
2025-02-03 16:15:00,205.39,208.45,204.69,207.51,,SOL/USD
2025-02-03 16:00:00,207.37,208.5,203.93,205.4,,SOL/USD
2025-02-03 15:45:00,209.45,210.35,205.91,207.41,,SOL/USD
2025-02-03 15:30:00,207.47,209.65,205.45,209.54,,SOL/USD
2025-02-03 15:15:00,199.27,209.25,198.48,207.65,,SOL/USD
2025-02-03 15:00:00,199.9,200.96,198,199.2,,SOL/USD
2025-02-03 14:45:00,198.37,200,195.17,199.9,,SOL/USD
2025-02-03 14:30:00,191.3,199.46,190.26,198.07,,SOL/USD
2025-02-03 14:15:00,191.38,193,190.01,191.33,,SOL/USD
2025-02-03 14:00:00,194.83,194.92,190.68,191.37,,SOL/USD
2025-02-03 13:45:00,196.75,196.99,193.91,194.8,,SOL/USD
2025-02-03 13:30:00,193.55,196.99,193.53,196.75,,SOL/USD
2025-02-03 13:15:00,194.87,196.04,193.5,193.56,,SOL/USD
2025-02-03 13:00:00,195.29,196.75,194.78,194.87,,SOL/USD
2025-02-03 12:45:00,197.52,197.52,195.05,195.29,,SOL/USD
2025-02-03 12:30:00,197.97,198.47,196.79,197.53,,SOL/USD
2025-02-03 12:15:00,197.63,199.76,197.43,197.99,,SOL/USD
2025-02-03 12:00:00,198.78,199.26,197.32,197.66,,SOL/USD
2025-02-03 11:45:00,199.2,199.61,198.12,198.78,,SOL/USD
2025-02-03 11:30:00,199.51,200.29,198.83,199.2,,SOL/USD
2025-02-03 11:15:00,200.74,200.85,198.94,199.53,,SOL/USD
2025-02-03 11:00:00,201.99,201.99,199.93,200.74,,SOL/USD
2025-02-03 10:45:00,199.65,202.31,199.65,202,,SOL/USD
2025-02-03 10:30:00,199.55,200.9,198.62,199.65,,SOL/USD
2025-02-03 10:15:00,196.17,199.66,195.32,199.55,,SOL/USD
2025-02-03 10:00:00,194.39,196.24,194.24,196.17,,SOL/USD
